"Report Name: Client Center Import Report"
"Report Time: April 2015,April 2015"
"Time Zone: (GMT-05:00) Eastern Time (US & Canada)"
"Last Completed Available Day: 5/1/2015 9:00:00 AM (GMT)"
"Last Completed Available Hour: 5/1/2015 9:00:00 AM (GMT)"
"Report Aggregation: Month"
"Report Filter: "
"Rows: 606"

"Month","Campaign ID","Campaign name","Keyword","Clicks","Impressions","Avg. position","Average CPC","Spend","CTR (%)"
"April 2015","3139199","Dr. Farmer","knee replacement","2","25","2.56","5.51","11.01","8.00"
"April 2015","3139199","Dr. Farmer","knee surgery","0","11","4.45","0.00","0.00","0.00"
"April 2015","3139199","Dr. Farmer","knee weakness","0","1","2.00","0.00","0.00","0.00"
"April 2015","3139199","Dr. Farmer","meniscus knee surgery","0","1","1.00","0.00","0.00","0.00"
"April 2015","3139199","Dr. Farmer","Meniscus or Cartilage Tears","0","10","1.40","0.00","0.00","0.00"
"April 2015","3139199","Dr. Farmer","meniscus tear","0","17","1.06","0.00","0.00","0.00"
"April 2015","3139199","Dr. Farmer","orthopedic","9","107","1.71","2.80","25.18","8.41"
"April 2015","3139199","Dr. Farmer","orthopedic hip replacement","0","1","1.00","0.00","0.00","0.00"
"April 2015","3139199","Dr. Farmer","partial knee replacement","0","13","2.92","0.00","0.00","0.00"
"April 2015","3139199","Dr. Farmer","prp injections","0","1","1.00","0.00","0.00","0.00"
"April 2015","3139199","Dr. Farmer","rotator cuff","0","18","1.33","0.00","0.00","0.00"
"April 2015","3139199","Dr. Farmer","rotator cuff arthritis","1","5","1.00","0.77","0.77","20.00"
"April 2015","3139199","Dr. Farmer","rotator cuff decompression","0","12","1.00","0.00","0.00","0.00"
"April 2015","3139199","Dr. Farmer","rotator cuff impingement","0","4","1.00","0.00","0.00","0.00"
"April 2015","3139199","Dr. Farmer","rotator cuff inflammation","0","5","1.80","0.00","0.00","0.00"
"April 2015","3139199","Dr. Farmer","rotator cuff injury","0","4","1.00","0.00","0.00","0.00"
"April 2015","3139199","Dr. Farmer","rotator cuff labrum","0","1","1.00","0.00","0.00","0.00"
"April 2015","3139199","Dr. Farmer","rotator cuff pain treatment","1","4","1.25","2.65","2.65","25.00"
"April 2015","3139199","Dr. Farmer","rotator cuff problems","1","13","1.00","2.69","2.69","7.69"
"April 2015","3139199","Dr. Farmer","rotator cuff recovery","0","4","1.00","0.00","0.00","0.00"
"April 2015","3139199","Dr. Farmer","rotator cuff repair","0","3","1.00","0.00","0.00","0.00"
"April 2015","3139199","Dr. Farmer","rotator cuff repair rehab","0","2","1.00","0.00","0.00","0.00"
"April 2015","3139199","Dr. Farmer","rotator cuff rupture","0","1","2.00","0.00","0.00","0.00"
"April 2015","3139199","Dr. Farmer","rotator cuff shoulder","1","4","1.00","2.34","2.34","25.00"
"April 2015","3139199","Dr. Farmer","rotator cuff shoulder pain","0","1","1.00","0.00","0.00","0.00"
"April 2015","3139199","Dr. Farmer","rotator cuff shoulder surgery","0","10","1.20","0.00","0.00","0.00"
"April 2015","3139199","Dr. Farmer","rotator cuff surgery","0","4","1.75","0.00","0.00","0.00"
"April 2015","3139199","Dr. Farmer","rotator cuff symptoms","0","1","1.00","0.00","0.00","0.00"
"April 2015","3139199","Dr. Farmer","rotator cuff tear","0","29","1.00","0.00","0.00","0.00"
"April 2015","3139199","Dr. Farmer","rotator cuff tear repair","1","6","1.00","6.51","6.51","16.67"
"April 2015","3139199","Dr. Farmer","rotator cuff tear treatment","0","4","1.00","0.00","0.00","0.00"
"April 2015","3139199","Dr. Farmer","rotator cuff tendinitis","1","25","1.00","1.16","1.16","4.00"
"April 2015","3139199","Dr. Farmer","rotator cuff tendon tear","0","1","1.00","0.00","0.00","0.00"
"April 2015","3139199","Dr. Farmer","rotator cuff tendonitis treatment","0","9","1.00","0.00","0.00","0.00"
"April 2015","3139199","Dr. Farmer","rotator cuff torn","0","29","1.10","0.00","0.00","0.00"
"April 2015","3139199","Dr. Farmer","rotator cuff treatment","0","4","1.50","0.00","0.00","0.00"
"April 2015","3139199","Dr. Farmer","rotator cuff treatments","0","8","1.00","0.00","0.00","0.00"
"April 2015","3139199","Dr. Farmer","rotator cup surgery","0","1","1.00","0.00","0.00","0.00"
"April 2015","3139199","Dr. Farmer","torn meniscus","0","9","1.44","0.00","0.00","0.00"
"April 2015","3139199","Dr. Farmer","torn meniscus care","0","2","1.00","0.00","0.00","0.00"
"April 2015","3139199","Dr. Farmer","torn meniscus surgery","0","5","1.00","0.00","0.00","0.00"
"April 2015","3139199","Dr. Farmer","total knee replacement","0","19","3.37","0.00","0.00","0.00"
"April 2015","3139200","ESP Waste Management","+dumpster +rental","1","10","1.10","6.64","6.64","10.00"
"April 2015","3139200","ESP Waste Management","+dumpster +rental +fort +myers","0","3","1.00","0.00","0.00","0.00"
"April 2015","3139200","ESP Waste Management","+dumpster +rentals","1","10","1.30","14.24","14.24","10.00"
"April 2015","3139200","ESP Waste Management","commercial dumpster service","4","34","1.09","10.19","40.75","11.76"
"April 2015","3139200","ESP Waste Management","construction dumpster in fort myers","1","27","1.63","15.71","15.71","3.70"
"April 2015","3139200","ESP Waste Management","dumpster pickup","0","2","1.00","0.00","0.00","0.00"
"April 2015","3139200","ESP Waste Management","dumpster rent","6","216","1.38","11.78","70.66","2.78"
"April 2015","3139200","ESP Waste Management","dumpster rental cape coral","2","124","1.23","8.04","16.07","1.61"
"April 2015","3139200","ESP Waste Management","dumpster services","2","65","1.02","14.54","29.08","3.08"
"April 2015","3139200","ESP Waste Management","esp dumpster","1","5","1.00","4.20","4.20","20.00"
"April 2015","3139200","ESP Waste Management","esp dumpster rental fort myers","0","87","1.52","0.00","0.00","0.00"
"April 2015","3139200","ESP Waste Management","foliage dumpster","2","5","1.00","9.07","18.13","40.00"
"April 2015","3139200","ESP Waste Management","fort myers dumpster rental","0","1","1.00","0.00","0.00","0.00"
"April 2015","3139200","ESP Waste Management","ft myers dumpster rental","0","2","2.50","0.00","0.00","0.00"
"April 2015","3139200","ESP Waste Management","residential construction dumpster","1","11","1.00","10.22","10.22","9.09"
"April 2015","3139200","ESP Waste Management","residential dumpster rental","0","1","1.00","0.00","0.00","0.00"
"April 2015","3139200","ESP Waste Management","residential dumpster service","6","146","1.10","14.79","88.76","4.11"
"April 2015","3139200","ESP Waste Management","waste management dumpster rentals","0","5","1.00","0.00","0.00","0.00"
"April 2015","3139202","Isoqar","abs quality evaluations","0","4","1.00","0.00","0.00","0.00"
"April 2015","3139202","Isoqar","abs-qe.com","0","2","1.00","0.00","0.00","0.00"
"April 2015","3139202","Isoqar","as9100","3","73","1.08","4.03","12.09","4.11"
"April 2015","3139202","Isoqar","as9100 aerospace","0","72","2.31","0.00","0.00","0.00"
"April 2015","3139202","Isoqar","as9100 aerospace standard","0","75","1.00","0.00","0.00","0.00"
"April 2015","3139202","Isoqar","as9100 auditor","0","4","1.25","0.00","0.00","0.00"
"April 2015","3139202","Isoqar","as9100 certification","4","27","1.11","4.81","19.25","14.81"
"April 2015","3139202","Isoqar","as9100 quality","1","15","1.33","5.70","5.70","6.67"
"April 2015","3139202","Isoqar","as9100 requirements","0","16","1.19","0.00","0.00","0.00"
"April 2015","3139202","Isoqar","as9100 risk management","3","49","1.10","7.33","21.98","6.12"
"April 2015","3139202","Isoqar","as9100 risk management procedure","0","12","1.00","0.00","0.00","0.00"
"April 2015","3139202","Isoqar","as9100 standard","1","20","1.45","2.49","2.49","5.00"
"April 2015","3139202","Isoqar","as9100 standards","0","5","1.00","0.00","0.00","0.00"
"April 2015","3139202","Isoqar","audit assessment","0","4","1.00","0.00","0.00","0.00"
"April 2015","3139202","Isoqar","audit certification","2","39","3.13","4.64","9.28","5.13"
"April 2015","3139202","Isoqar","audit management","0","29","1.24","0.00","0.00","0.00"
"April 2015","3139202","Isoqar","British Standards Institution","0","13","2.46","0.00","0.00","0.00"
"April 2015","3139202","Isoqar","BSI Standards","0","15","2.00","0.00","0.00","0.00"
"April 2015","3139202","Isoqar","Bureau Veritas","8","174","1.11","2.65","21.17","4.60"
"April 2015","3139202","Isoqar","bureauveritas.com","0","8","1.25","0.00","0.00","0.00"
"April 2015","3139202","Isoqar","dnvcert.com","0","3","1.33","0.00","0.00","0.00"
"April 2015","3139202","Isoqar","fda iso 13485","2","43","1.40","4.81","9.61","4.65"
"April 2015","3139202","Isoqar","implementing iso 13485","0","23","1.00","0.00","0.00","0.00"
"April 2015","3139202","Isoqar","international audit standards","0","1","1.00","0.00","0.00","0.00"
"April 2015","3139202","Isoqar","intertek","5","447","1.91","2.38","11.89","1.12"
"April 2015","3139202","Isoqar","intertek.com","0","5","1.20","0.00","0.00","0.00"
"April 2015","3139202","Isoqar","iso 13485","12","231","1.48","3.67","44.05","5.19"
"April 2015","3139202","Isoqar","iso 13485 audit","2","102","1.57","1.77","3.53","1.96"
"April 2015","3139202","Isoqar","iso 13485 auditor","4","77","1.43","5.41","21.63","5.19"
"April 2015","3139202","Isoqar","iso 13485 certification","0","42","1.33","0.00","0.00","0.00"
"April 2015","3139202","Isoqar","iso 13485 certified","1","39","2.72","4.70","4.70","2.56"
"April 2015","3139202","Isoqar","iso 13485 lead auditor","1","20","1.00","4.24","4.24","5.00"
"April 2015","3139202","Isoqar","iso 13485 regulations","2","153","1.56","6.52","13.04","1.31"
"April 2015","3139202","Isoqar","iso 13485 requirements","0","17","1.18","0.00","0.00","0.00"
"April 2015","3139202","Isoqar","iso 13485 standard","2","57","1.61","3.53","7.06","3.51"
"April 2015","3139202","Isoqar","iso 13485 standards","0","45","1.31","0.00","0.00","0.00"
"April 2015","3139202","Isoqar","iso 27001","9","167","1.35","2.79","25.08","5.39"
"April 2015","3139202","Isoqar","iso 27001 certification","1","47","1.74","4.43","4.43","2.13"
"April 2015","3139202","Isoqar","iso 27001 certified","2","59","1.78","6.68","13.35","3.39"
"April 2015","3139202","Isoqar","iso 27001 requirements","0","16","1.88","0.00","0.00","0.00"
"April 2015","3139202","Isoqar","iso 27001 risk assessment","0","12","1.25","0.00","0.00","0.00"
"April 2015","3139202","Isoqar","iso 27001 standard","1","82","1.72","9.43","9.43","1.22"
"April 2015","3139202","Isoqar","iso 9100","1","9","2.11","1.40","1.40","11.11"
"April 2015","3139202","Isoqar","nqa.usa.com","0","11","1.73","0.00","0.00","0.00"
"April 2015","3139202","Isoqar","nsai","0","13","1.00","0.00","0.00","0.00"
"April 2015","3139202","Isoqar","nsaiinc.com","0","2","1.00","0.00","0.00","0.00"
"April 2015","3139202","Isoqar","nsf.org","0","22","1.41","0.00","0.00","0.00"
"April 2015","3139202","Isoqar","nsf-isr","0","9","1.11","0.00","0.00","0.00"
"April 2015","3139202","Isoqar","perry johnson","0","8","1.13","0.00","0.00","0.00"
"April 2015","3139202","Isoqar","pjr.com","0","1","1.00","0.00","0.00","0.00"
"April 2015","3139202","Isoqar","process management","0","205","1.83","0.00","0.00","0.00"
"April 2015","3139202","Isoqar","saiglobal.com","0","1","1.00","0.00","0.00","0.00"
"April 2015","3139202","Isoqar","security iso 27001","1","96","1.35","5.23","5.23","1.04"
"April 2015","3139202","Isoqar","tuv sud america","0","10","1.60","0.00","0.00","0.00"
"April 2015","3139202","Isoqar","tuv usa","2","9","1.11","1.44","2.88","22.22"
"April 2015","3139202","Isoqar","tuv.com","0","12","1.33","0.00","0.00","0.00"
"April 2015","3139202","Isoqar","tuvamerica.com","0","1","1.00","0.00","0.00","0.00"
"April 2015","3139202","Isoqar","tuv-nord.com","0","4","1.50","0.00","0.00","0.00"
