Name,Automatic placement performance (domain) report CSV
Type,Automatic placement (domain)
Frequency,One time
Date range,Last month
Dates,"May 1, 2015-May 31, 2015"
Account,Domain,Customer ID,Clicks,Impressions,Campaign,Special category
Dr. Gross,homeremy.com,838-025-1455,0,9,Dr Gross, --
Dr. Gross,medicaldaily.com,838-025-1455,0,7,Dr Gross, --
Dr. Gross,mdjunction.com,838-025-1455,0,16,Dr Gross, --
Dr. Gross,healthcaremagic.com,838-025-1455,1,1,Dr Gross, --
Dr. Gross,muscleandfitness.com,838-025-1455,1,1,Dr Gross, --
Dr. Gross,dailymail.co.uk,838-025-1455,0,6,Dr Gross, --
Dr. Gross,familydoctor.org,838-025-1455,0,7,Dr Gross, --
Dr. Gross,medguidance.com,838-025-1455,1,9,Dr Gross, --
Dr. Gross,thescienceofeating.com,838-025-1455,0,6,Dr Gross, --
Dr. Gross,idealistrevolution.org,838-025-1455,0,8,Dr Gross, --
Dr. Gross,emedicinehealth.com,838-025-1455,0,27,Dr Gross, --
Dr. Gross,washingtontimes.com,838-025-1455,0,7,Dr Gross, --
Dr. Gross,ehealthforum.com,838-025-1455,1,1,Dr Gross, --
Dr. Gross,health.com,838-025-1455,0,43,Dr Gross, --
Dr. Gross,time.com,838-025-1455,0,6,Dr Gross, --
Dr. Gross,painleftside.net,838-025-1455,1,1,Dr Gross, --
Dr. Gross,icd9data.com,838-025-1455,1,1,Dr Gross, --
Dr. Gross,iheartdogs.com,838-025-1455,0,27,Dr Gross, --
Dr. Gross,netdoctor.co.uk,838-025-1455,0,5,Dr Gross, --
Dr. Gross,worldtruth.tv,838-025-1455,0,11,Dr Gross, --
Dr. Gross,wikihow.com,838-025-1455,4,386,Dr Gross, --
Dr. Gross,livestrong.com,838-025-1455,4,141,Dr Gross, --
Dr. Gross,menshealth.com,838-025-1455,0,12,Dr Gross, --
Dr. Gross,spineuniverse.com,838-025-1455,0,5,Dr Gross, --
Dr. Gross,maxfeed.net,838-025-1455,2,3,Dr Gross, --
Dr. Gross,arthritis.org,838-025-1455,0,5,Dr Gross, --
Dr. Gross,answers.com,838-025-1455,1,2,Dr Gross, --
Dr. Gross,medschat.com,838-025-1455,1,22,Dr Gross, --
Dr. Gross,healthandhealthyliving.com,838-025-1455,1,2,Dr Gross, --
Dr. Gross,curejoy.com,838-025-1455,0,27,Dr Gross, --
Dr. Gross,earthclinic.com,838-025-1455,0,8,Dr Gross, --
Dr. Gross,anonymous.google,838-025-1455,1,359,Dr Gross, --
Dr. Gross,collective-evolution.com,838-025-1455,0,24,Dr Gross, --
Dr. Gross,symptomfind.com,838-025-1455,1,4,Dr Gross, --
Dr. Gross,healthcarepass.com,838-025-1455,2,8,Dr Gross, --
Dr. Gross,news-medical.net,838-025-1455,0,5,Dr Gross, --
Dr. Gross,ratemds.com,838-025-1455,0,5,Dr Gross, --
Dr. Gross,hubpages.com,838-025-1455,1,2,Dr Gross, --
Dr. Gross,selfsufficientlifestyle.com,838-025-1455,13,220,Dr Gross, --
Dr. Gross,naturalsolutiontoday.com,838-025-1455,1,2,Dr Gross, --
Dr. Gross,buynongmoseeds.com,838-025-1455,0,12,Dr Gross, --
Dr. Gross,wittyfeed.com,838-025-1455,0,6,Dr Gross, --
Dr. Gross,about.com,838-025-1455,2,570,Dr Gross, --
Dr. Gross,healthandlovepage.com,838-025-1455,18,118,Dr Gross, --
Dr. Gross,thedoctorstv.com,838-025-1455,0,10,Dr Gross, --
Dr. Gross,tellyouall.com,838-025-1455,1,3,Dr Gross, --
Dr. Gross,vitals.com,838-025-1455,0,13,Dr Gross, --
Dr. Gross,natural-pain-relief-guide.com,838-025-1455,0,5,Dr Gross, --
Dr. Gross,stethnews.com,838-025-1455,0,5,Dr Gross, --
Dr. Gross,hereswhat.org,838-025-1455,0,7,Dr Gross, --
Dr. Gross,lifescript.com,838-025-1455,0,77,Dr Gross, --
Dr. Gross,sciencedaily.com,838-025-1455,0,5,Dr Gross, --
Physicians Rehabilitation,wikihow.com,544-411-0512,0,44,Remarketing, --
Physicians Rehabilitation,hollywoodlife.com,544-411-0512,0,28,Remarketing, --
Physicians Rehabilitation,littlethings.com,544-411-0512,0,6,Remarketing, --
Physicians Rehabilitation,petharbor.com,544-411-0512,0,5,Remarketing, --
Physicians Rehabilitation,bible.org,544-411-0512,0,5,Remarketing, --
Physicians Rehabilitation,allfunnyquotes.com,544-411-0512,0,11,Remarketing, --
Physicians Rehabilitation,thegraciouspantry.com,544-411-0512,0,7,Remarketing, --
Physicians Rehabilitation,worldofsolitaire.com,544-411-0512,1,1,Remarketing, --
Physicians Rehabilitation,boxingnews24.com,544-411-0512,1,2,Knee Remarketing, --
Physicians Rehabilitation,seattletimes.com,544-411-0512,1,1,Knee Remarketing, --
Physicians Rehabilitation,alrakoba.net,544-411-0512,0,19,Knee Remarketing, --
Physicians Rehabilitation,weddingbee.com,544-411-0512,0,5,Remarketing, --
Physicians Rehabilitation,allrecipes.com,544-411-0512,0,147,Remarketing, --
Physicians Rehabilitation,finance.google.com,544-411-0512,1,1,Remarketing, --
Physicians Rehabilitation,faithtap.com,544-411-0512,0,7,Remarketing, --
Physicians Rehabilitation,rantpets.com,544-411-0512,0,5,Remarketing, --
Physicians Rehabilitation,iheartdogs.com,544-411-0512,0,7,Remarketing, --
Physicians Rehabilitation,pawmygosh.com,544-411-0512,1,3,Remarketing, --
Physicians Rehabilitation,spine-health.com,544-411-0512,0,5,Remarketing, --
Physicians Rehabilitation,simplyhired.com,544-411-0512,0,24,Remarketing, --
Physicians Rehabilitation,freakoutnation.com,544-411-0512,1,1,Knee Remarketing, --
Physicians Rehabilitation,todayslifestyle.com,544-411-0512,1,4,Knee Remarketing, --
Physicians Rehabilitation,trending.report,544-411-0512,0,49,Remarketing, --
Physicians Rehabilitation,ba-bamail.com,544-411-0512,1,15,Remarketing, --
Physicians Rehabilitation,vimeo.com,544-411-0512,1,16,Remarketing, --
Physicians Rehabilitation,travelmath.com,544-411-0512,0,7,Remarketing, --
Physicians Rehabilitation,prensalibre.com,544-411-0512,0,9,Remarketing, --
Physicians Rehabilitation,forrent.com,544-411-0512,0,10,Remarketing, --
Physicians Rehabilitation,quizsong.com,544-411-0512,0,13,Remarketing, --
Physicians Rehabilitation,ezdata.org,544-411-0512,1,2,Remarketing, --
Physicians Rehabilitation,mansfieldnewsjournal.com,544-411-0512,0,5,Remarketing, --
Physicians Rehabilitation,funtrivia.com,544-411-0512,1,1,Knee Remarketing, --
Physicians Rehabilitation,viralnova.com,544-411-0512,1,88,Knee Remarketing, --
Physicians Rehabilitation,alnilin.com,544-411-0512,0,17,Knee Remarketing, --
Physicians Rehabilitation,timeanddate.com,544-411-0512,0,11,Knee Remarketing, --
Physicians Rehabilitation,glassdoor.com,544-411-0512,0,5,Remarketing, --
Physicians Rehabilitation,regalbeaglemania.com,544-411-0512,0,5,Remarketing, --
Physicians Rehabilitation,escapehere.com,544-411-0512,0,22,Remarketing, --
Physicians Rehabilitation,alocations.com,544-411-0512,1,2,Remarketing, --
Physicians Rehabilitation,sliptalk.com,544-411-0512,1,1,Remarketing, --
Physicians Rehabilitation,emedicinehealth.com,544-411-0512,1,17,Remarketing, --
Physicians Rehabilitation,fgcuathletics.com,544-411-0512,0,5,Remarketing, --
Physicians Rehabilitation,visulate.com,544-411-0512,0,5,Remarketing, --
Physicians Rehabilitation,allpassport.com,544-411-0512,1,2,Remarketing, --
Physicians Rehabilitation,playbuzz.com,544-411-0512,0,5,Remarketing, --
Physicians Rehabilitation,businessinsider.com,544-411-0512,0,17,Knee Remarketing, --
Physicians Rehabilitation,allrecipes.com,544-411-0512,0,33,Knee Remarketing, --
Physicians Rehabilitation,hollywoodlife.com,544-411-0512,0,6,Knee Remarketing, --
Physicians Rehabilitation,onet.pl,544-411-0512,0,7,Knee Remarketing, --
Physicians Rehabilitation,salon.com,544-411-0512,0,171,Knee Remarketing, --
Physicians Rehabilitation,foxnews.com,544-411-0512,53,901,Knee Remarketing, --
Physicians Rehabilitation,wonderfuldiy.com,544-411-0512,0,10,Remarketing, --
Physicians Rehabilitation,homegardenvibes.com,544-411-0512,0,7,Remarketing, --
Physicians Rehabilitation,yamcu.com,544-411-0512,0,5,Remarketing, --
Physicians Rehabilitation,echl.com,544-411-0512,0,7,Remarketing, --
Physicians Rehabilitation,medhelp.org,544-411-0512,0,6,Remarketing, --
Physicians Rehabilitation,mathinenglish.com,544-411-0512,0,16,Remarketing, --
Physicians Rehabilitation,knittingparadise.com,544-411-0512,0,55,Remarketing, --
Physicians Rehabilitation,dental-health-advice.com,544-411-0512,1,1,Knee Remarketing, --
Physicians Rehabilitation,newsweek.com,544-411-0512,1,2,Knee Remarketing, --
Physicians Rehabilitation,pcworld.com,544-411-0512,0,14,Knee Remarketing, --
Physicians Rehabilitation,palmbeachpost.com,544-411-0512,1,1,Knee Remarketing, --
Physicians Rehabilitation,salary.com,544-411-0512,1,7,Knee Remarketing, --
Physicians Rehabilitation,shoelessnomad.com,544-411-0512,0,6,Knee Remarketing, --
Physicians Rehabilitation,themoscowtimes.com,544-411-0512,0,5,Knee Remarketing, --
Physicians Rehabilitation,autoweek.com,544-411-0512,1,7,Knee Remarketing, --
